date,county,state,fips,cases,deaths,case
2020-03-02,Fulton,Georgia,13121,2,0,2
2020-03-03,Fulton,Georgia,13121,2,0,0
2020-03-04,Fulton,Georgia,13121,2,0,0
2020-03-05,Fulton,Georgia,13121,2,0,0
2020-03-06,Fulton,Georgia,13121,2,0,0
2020-03-07,Cobb,Georgia,13067,1,0,1
2020-03-07,Fulton,Georgia,13121,4,0,2
2020-03-07,Gwinnett,Georgia,13135,1,0,1
2020-03-08,Cobb,Georgia,13067,3,0,2
2020-03-08,Fulton,Georgia,13121,5,0,1
2020-03-08,Gwinnett,Georgia,13135,1,0,0
2020-03-09,Cobb,Georgia,13067,4,0,1
2020-03-09,DeKalb,Georgia,13089,2,0,2
2020-03-09,Fulton,Georgia,13121,5,0,0
2020-03-09,Gwinnett,Georgia,13135,2,0,1
2020-03-10,Cobb,Georgia,13067,7,0,3
2020-03-10,DeKalb,Georgia,13089,2,0,0
2020-03-10,Fulton,Georgia,13121,6,0,1
2020-03-10,Gwinnett,Georgia,13135,2,0,0
2020-03-11,Cobb,Georgia,13067,8,0,1
2020-03-11,DeKalb,Georgia,13089,4,0,2
2020-03-11,Fulton,Georgia,13121,6,0,0
2020-03-11,Gwinnett,Georgia,13135,2,0,0
2020-03-12,Cobb,Georgia,13067,8,1,0
2020-03-12,DeKalb,Georgia,13089,4,0,0
2020-03-12,Fulton,Georgia,13121,6,0,0
2020-03-12,Gwinnett,Georgia,13135,2,0,0
2020-03-13,Cobb,Georgia,13067,8,1,0
2020-03-13,DeKalb,Georgia,13089,4,0,0
2020-03-13,Fulton,Georgia,13121,6,0,0
2020-03-13,Gwinnett,Georgia,13135,2,0,0
2020-03-14,Cobb,Georgia,13067,15,1,7
2020-03-14,DeKalb,Georgia,13089,8,0,4
2020-03-14,Fulton,Georgia,13121,13,0,7
2020-03-14,Gwinnett,Georgia,13135,2,0,0
2020-03-15,Cobb,Georgia,13067,19,1,4
2020-03-15,DeKalb,Georgia,13089,10,0,2
2020-03-15,Fulton,Georgia,13121,20,0,7
2020-03-15,Gwinnett,Georgia,13135,4,0,2
2020-03-16,Cobb,Georgia,13067,22,1,3
2020-03-16,DeKalb,Georgia,13089,10,0,0
2020-03-16,Fulton,Georgia,13121,27,0,7
2020-03-16,Gwinnett,Georgia,13135,5,0,1
2020-03-16,Hall,Georgia,13139,1,0,1
2020-03-17,Cobb,Georgia,13067,25,1,3
2020-03-17,DeKalb,Georgia,13089,15,0,5
2020-03-17,Fulton,Georgia,13121,33,0,6
2020-03-17,Gwinnett,Georgia,13135,7,0,2
2020-03-17,Hall,Georgia,13139,1,0,0
